Name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,Status,Finish,Maybeboard,Image URL,Image Back URL,Tags,Notes,MTGO ID
"Aquamoeba",2,"Creature - Elemental Beast",U,"tor","24",common,u,Owned,Non-foil,false,,,"","",17119
"Merfolk Looter",2,"Creature - Merfolk Rogue",U,"exo","39",common,u,Owned,Non-foil,false,,,"","",10663
"Waterfront Bouncer",2,"Creature - Merfolk Spellshaper",U,"mmq","114",common,u,Owned,Non-foil,false,,,"","",13175
"Man-o'-War",3,"Creature - Jellyfish",U,"ddo","38",common,u,Owned,Non-foil,false,,,"","",
"Tradewind Rider",4,"Creature - Spirit",U,"tmp","98",rare,u,Owned,Non-foil,false,,,"","",9905
"Wonder",4,"Creature - Incarnation",U,"jud","54",uncommon,u,Owned,Non-foil,false,,,"","",17456
"Morphling",5,"Creature - Shapeshifter",U,"usg","85",rare,u,Owned,Non-foil,false,,,"","",12241
"Force Spike",1,"Instant",U,"leg","58",common,u,Owned,Non-foil,false,,,"","",
"Mental Note",1,"Instant",U,"jud","46",common,u,Owned,Non-foil,false,,,"","",17450
"Counterspell",2,"Instant",U,"lea","54",uncommon,u,Owned,Non-foil,false,,,"","",
"Daze",2,"Instant",U,"nem","30",common,u,Owned,Non-foil,false,,,"","",14009
"Mana Leak",2,"Instant",U,"sth","36",common,u,Owned,Non-foil,false,,,"","",10307
"Memory Lapse",2,"Instant",U,"hml","32a",common,u,Owned,Non-foil,false,,,"","",
"Miscalculation",2,"Instant",U,"ulg","36",common,u,Owned,Non-foil,false,,,"","",12607
"Circular Logic",3,"Instant",U,"tor","33",uncommon,u,Owned,Non-foil,false,,,"","",17331
"Frantic Search",3,"Instant",U,"ulg","32",common,u,Owned,Non-foil,false,,,"","",12615
"Intuition",3,"Instant",U,"tmp","70",rare,u,Owned,Non-foil,false,,,"","",9897
"Fact or Fiction",4,"Instant",U,"inv","57",uncommon,u,Owned,Non-foil,false,,,"","",14505
"Gush",5,"Instant",U,"mmq","82",common,u,Owned,Non-foil,false,,,"","",13659
"Careful Study",1,"Sorcery",U,"ody","70",common,u,Owned,Non-foil,false,,,"","",16929
"Deep Analysis",4,"Sorcery",U,"tor","36",common,u,Owned,Non-foil,false,,,"","",17135
"Upheaval",6,"Sorcery",U,"v14","13",mythic,u,Owned,Non-foil,false,,,"","",53927
"Carrion Feeder",1,"Creature - Zombie",B,"scg","59",common,b,Owned,Non-foil,false,,,"","",18680
"Festering Goblin",1,"Creature - Zombie Goblin",B,"ons","148",common,b,Owned,Non-foil,false,,,"","",17903
"Putrid Imp",1,"Creature - Zombie Imp",B,"tor","77",common,b,Owned,Non-foil,false,,,"","",17167
"Mesmeric Fiend",2,"Creature - Nightmare Horror",B,"tor","69",common,b,Owned,Non-foil,false,,,"","",17171
"Nantuko Shade",2,"Creature - Insect Shade",B,"tor","74",rare,b,Owned,Non-foil,false,,,"","",17211
"Ravenous Rats",2,"Creature - Rat",B,"10e","171",common,b,Owned,Non-foil,false,,,"","",27308
"Bone Shredder",3,"Creature - Phyrexian Minion",B,"mh2","272",uncommon,b,Owned,Non-foil,false,,,"","",90967
"Hidden Horror",3,"Creature - Horror",B,"wth","72",uncommon,b,Owned,Non-foil,false,,,"","",9377
"Hypnotic Specter",3,"Creature - Specter",B,"lea","112",uncommon,b,Owned,Non-foil,false,,,"","",
"Visara the Dreadful",6,"Legendary Creature - Gorgon",B,"ons","179",rare,b,Owned,Non-foil,false,,,"","",18313
"Dark Ritual",1,"Instant",B,"leb","99",common,b,Owned,Non-foil,false,,,"","",
"Entomb",1,"Instant",B,"pd3","14",rare,b,Owned,Non-foil,false,,,"","",43127
"Vampiric Tutor",1,"Instant",B,"vis","72",rare,b,Owned,Non-foil,false,,,"","",7777
"Vendetta",1,"Instant",B,"mmq","170",common,b,Owned,Non-foil,false,,,"","",13227
"Smother",2,"Instant",B,"wwk","68",uncommon,b,Owned,Non-foil,false,,,"","",35751
"Cabal Therapy",1,"Sorcery",B,"jud","62",uncommon,b,Owned,Non-foil,false,,,"","",17496
"Duress",1,"Sorcery",B,"xln","105",common,b,Owned,Non-foil,false,,,"","",65226
"Reanimate",1,"Sorcery",B,"uma","110",rare,b,Owned,Non-foil,false,,,"","",70017
"Chainer's Edict",2,"Sorcery",B,"tor","57",uncommon,b,Owned,Non-foil,false,,,"","",17205
"Exhume",2,"Sorcery",B,"brb","24",common,b,Owned,Non-foil,false,,,"","",
"Rancid Earth",3,"Sorcery",B,"tor","78",common,b,Owned,Non-foil,false,,,"","",17069
